"","num_patches","max_area","pct_cover","mean_dis_w_0","mean_dis_no_0","median_dis","num_zeros","max_dis"
"1",1,0.002,5.40000000000004e-05,0.409234927845663,0.409275855431206,0.407679728610621,1,0.856551592644983
"2",2,0.002,0.00171633413998714,0.541926174825509,0.542794646259525,0.55444451365167,16,1.13778857279405
"3",3,0.002,0.00263279600740959,0.311275010118933,0.312587879211622,0.299679673777391,42,0.783687057239312
"4",4,0.002,0.00349010260300569,0.234954415460625,0.235874325329409,0.227995644310635,39,0.636394826713184
"5",1,0.004,0.002152,0.514652491411181,0.515838920929319,0.52227485739843,23,1.07561200535636
"6",2,0.004,0.005316,0.489771762653132,0.491936282295231,0.498757201883241,44,1.07912375775684
"7",3,0.004,0.007384,0.260874195599452,0.263084102056729,0.238437686714565,84,0.683053916760065
"8",4,0.004,0.00669411260754071,0.251404430928384,0.253151174029185,0.229268117674896,69,0.677069888986293
"9",1,0.006,0.00315,0.585007586269427,0.58612121658093,0.614056869385641,19,1.20518700399617
"10",2,0.006,0.00843425781634512,0.390744094496293,0.394611285090176,0.383824304911703,98,0.894332033487997
"11",3,0.006,0.013704,0.255163080764033,0.259048812958409,0.233945906315926,150,0.715285472951455
"12",4,0.006,0.0124985170034187,0.228941790981063,0.232074800791752,0.202687891623281,135,0.575869411056869
"13",1,0.008,0.0064759994661521,0.641556105299358,0.645363751432812,0.67127706327161,59,1.27461784526166
"14",2,0.008,0.002632,0.35320373523359,0.354159967144881,0.322699972099199,27,0.807267571866802
"15",3,0.008,0.017296,0.272849666727296,0.277822692930757,0.244019916869215,179,0.847962163456584
"16",4,0.008,0.0145598843502951,0.253466396841359,0.257274052823141,0.231949666769394,148,0.691337901734125
"17",1,0.01,0.00857,0.531409289120218,0.535964991548379,0.556507289397363,85,1.1367568540974
"18",2,0.01,0.00693084470609759,0.298269145090765,0.300160154061352,0.29429901128999,63,0.717031103813518
"19",3,0.01,0.0109892518786754,0.241651399976018,0.244339130410534,0.236366381455756,110,0.57575236041125
"20",4,0.01,0.0177970860816941,0.210074936113103,0.214078198423625,0.195241048614023,187,0.577105884430496
"21",1,0.012,0.002892,0.564666327712759,0.566308622718643,0.567291464468285,29,1.12428095482848
"22",2,0.012,0.008148,0.376992401402632,0.379956058660182,0.355269980579847,78,1.02554950790042
"23",3,0.012,0.012972,0.301455495593741,0.30558083689178,0.269026664188108,135,0.81337151131646
"24",4,0.012,0.0244130434675449,0.217539343957477,0.222432867032185,0.198868737136049,220,0.687698236515228
"25",1,0.014,0.0102882402406417,0.499305434268069,0.503941697888645,0.488940539133793,92,1.0418154519426
"26",2,0.014,0.00719600000000001,0.273609018975425,0.275565534268733,0.25788029425791,71,0.693995379354519
"27",3,0.014,0.026054,0.346763136886737,0.356935807397568,0.318512242383734,285,0.840337154695591
"28",4,0.014,0.032816,0.150784586045259,0.156010952969746,0.14934578434445,335,0.449320700613284
"29",1,0.016,0.010848,0.497962310216215,0.503449914281888,0.520717831282538,109,1.08652587661793
"30",2,0.016,0.012112,0.259823644916044,0.263272514860719,0.252985188518199,131,0.682565719294498
"31",3,0.016,0.0175809977372675,0.338220713556977,0.344947183637916,0.305181210079394,195,0.970450183226407
"32",4,0.016,0.042944,0.190082394981552,0.198560947437117,0.177775461833761,427,0.562579559551496
"33",1,0.018,0.017568,0.433956485169184,0.441281762425447,0.429856609136228,166,0.95188097157857
"34",2,0.018,0.019314,0.428277318446155,0.435816951710751,0.444481904655285,173,0.984812074970093
"35",3,0.018,0.0328393822378024,0.21467813710206,0.222718266523561,0.202529671992281,361,0.661376500633526
"36",4,0.018,0.0387808281990227,0.257571536127602,0.267968722563048,0.199430198811002,388,0.827381580905194
"37",1,0.02,0.01608,0.340245195898561,0.345426594820874,0.331869220746691,150,0.838157676076259
"38",2,0.02,0.02664,0.342143518783915,0.351312782404677,0.33979044398577,261,0.835063884309994
"39",3,0.02,0.0148828014444612,0.215129163212467,0.218205865921967,0.211962415827614,141,0.525005525299705
"40",4,0.02,0.038553808761691,0.247837473496766,0.258002783152994,0.22680674305821,394,0.739695777589579
"41",1,0.022,0.004928,0.59126003637311,0.594410411554348,0.619984205628423,53,1.21339434039394
"42",2,0.022,0.02189,0.287837029738658,0.294041301193848,0.2675427218714,211,0.840968004960793
"43",3,0.022,0.044836,0.246248293734107,0.257905628125374,0.225007977808329,452,0.74459744184603
"44",4,0.022,0.02574,0.248937103257567,0.255293921913205,0.22680993272745,249,0.733612379688039
"45",1,0.024,0.0142444736319851,0.507701606577813,0.516481797129006,0.519562454073647,170,1.09991666829437
"46",2,0.024,0.0251527237559977,0.414733665283132,0.424888500443737,0.428610704701268,239,1.03274171476694
"47",3,0.024,0.011764074368154,0.25169000169877,0.255082600282528,0.234777300768285,133,0.682006148634363
"48",4,0.024,0.0341034688645131,0.359005301145803,0.371026561746386,0.349971238969093,324,0.913474731078482
"49",1,0.026,0.00195,0.3752793039585,0.375880713099459,0.368581079666771,16,0.841900723592286
"50",2,0.026,0.0327154328787834,0.303872308086772,0.313852828017736,0.310319041524757,318,0.669015213250044
"51",3,0.026,0.0310820143713687,0.31239292272791,0.322154194831298,0.26682797799851,303,0.79796269784755
"52",4,0.026,0.0459140947364504,0.22436434403359,0.234764407275913,0.195222336471183,443,0.600570958648757
"53",1,0.028,0.00635600000000001,0.352152544574201,0.354385171152462,0.355612505663203,63,0.766456421306434
"54",2,0.028,0.015652,0.360223335350922,0.366676847873496,0.32887382119301,176,0.903387807495531
