"","Cover","distance","area","lat_dist","Zones","Value"
"1",0.37,13000,9970.32734277844,0,0.09,0.03
"2",0.37,13000,9970.32734277844,0,0.09,0.03
"3",0.31,12900,9970.91730411723,0,0.1,0.05
"4",0.31,12900,9970.91730411723,0,0.1,0.05
"5",0.29,12800,9970.62269449234,0,0.1,0.05
"6",0.29,12800,9970.62269449234,0,0.1,0.05
"7",0.34,12700,9970.61453561671,0,0.1,0.01
"8",0.34,12700,9970.61453561671,0,0.1,0.01
"9",0.41,12600,9970.60570349544,0,0.1,0.02
"10",0.41,12600,9970.60570349544,0,0.1,0.02
"11",0.52,12500,9970.5770376958,0,0.1,0.03
"12",0.52,12500,9970.5770376958,0,0.1,0.03
"13",0.53,12400,9970.60629110038,0,0.1,0.04
"14",0.53,12400,9970.60629110038,0,0.1,0.04
"15",0.5,12300,9970.60172958486,0,0.1,0.25
"16",0.5,12300,9970.60172958486,0,0.1,0.25
"17",0.5,12200,9970.64741494134,0,0.08,0.58
"18",0.5,12200,9970.64741494134,0,0.08,0.58
"19",0.5,12100,9970.66962841153,0,0,0.56
"20",0.5,12100,9970.66962841153,0,0,0.56
"21",0.5,12000,9970.34647238557,0,0,0.4
"22",0.5,12000,9970.34647238557,0,0,0.4
"23",0.5,11900,9970.80254796194,0,0,0.64
"24",0.5,11900,9970.80254796194,0,0,0.64
"25",0.52,11800,9970.44444748294,0,0,0.37
"26",0.52,11800,9970.44444748294,0,0,0.37
"27",0.51,11700,9970.65182309132,0,0,0.09
"28",0.51,11700,9970.65182309132,0,0,0.09
"29",0.5,11600,9970.5399407912,0,0,0.09
"30",0.5,11600,9970.5399407912,0,0,0.09
"31",0.5,11500,9970.7089673467,0,0,0.23
"32",0.5,11500,9970.7089673467,0,0,0.23
"33",0.5,11400,9970.43597374856,0,0,0.46
"34",0.5,11400,9970.43597374856,0,0,0.46
"35",0.53,11300,9970.74095463566,0,0,0.16
"36",0.53,11300,9970.74095463566,0,0,0.16
"37",0.44,11200,9970.7239039652,0,0,0.03
"38",0.44,11200,9970.7239039652,0,0,0.03
"39",0.53,11100,9970.52501346916,0,0,0.24
"40",0.53,11100,9970.52501346916,0,0,0.24
"41",0.37,11000,9970.57978181541,0,0,0.22
"42",0.37,11000,9970.57978181541,0,0,0.22
"43",0.35,10900,9970.61019223183,0,0,0.16
"44",0.35,10900,9970.61019223183,0,0,0.16
"45",0.53,10800,9970.61171224341,0,0,0.19
"46",0.53,10800,9970.61171224341,0,0,0.19
"47",0.69,10700,9970.58794371039,0,0.01,0.33
"48",0.69,10700,9970.58794371039,0,0.01,0.33
"49",0.65,10600,9970.53079266474,0,0.1,0.44
"50",0.65,10600,9970.53079266474,0,0.1,0.44
"51",0.44,10500,9970.85783950612,0,0.1,0.53
"52",0.44,10500,9970.85783950612,0,0.1,0.53
"53",0.49,10400,9970.2731866166,0,0.1,0.59
"54",0.49,10400,9970.2731866166,0,0.1,0.59
"55",0.54,10300,9970.96888900176,0,0.1,0.59
"56",0.54,10300,9970.96888900176,0,0.1,0.59
"57",0.36,10200,9970.3919872418,0,0.1,0.61
"58",0.36,10200,9970.3919872418,0,0.1,0.61
"59",0.1,10100,9970.68562591821,0,0.1,0.24
"60",0.1,10100,9970.68562591821,0,0.1,0.24
"61",0.64,10000,9970.57166971639,0,0.1,0.05
"62",0.64,10000,9970.57166971639,0,0.1,0.05
"63",1.77,9900,9970.60713453591,0,0.1,0.15
"64",1.77,9900,9970.60713453591,0,0.1,0.15
"65",1.99,9800,9970.64257300273,0,0.1,0.15
"66",1.99,9800,9970.64257300273,0,0.1,0.15
"67",2,9700,9970.55501526594,0,0.1,0.09
"68",2,9700,9970.55501526594,0,0.1,0.09
"69",2,9600,9970.6387109533,0,0.1,0.06
"70",2,9600,9970.6387109533,0,0.1,0.06
"71",2,9500,9970.69992472604,0,0.1,0.07
"72",2,9500,9970.69992472604,0,0.1,0.07
"73",1.69,9400,9970.5415766947,0,0.1,0.07
"74",1.69,9400,9970.5415766947,0,0.1,0.07
"75",0.95,9300,9970.44472939894,0,0.03,0.16
"76",0.95,9300,9970.44472939894,0,0.03,0.16
"77",0.13,9200,9970.86948435754,0,0,0.22
"78",0.13,9200,9970.86948435754,0,0,0.22
"79",0.18,9100,9970.29661167786,0,0,0.24
"80",0.18,9100,9970.29661167786,0,0,0.24
"81",0.26,9000,9970.81627430394,0,0,0.24
"82",0.26,9000,9970.81627430394,0,0,0.24
"83",0.3,8900,9970.38133965433,0,0.01,0.28
"84",0.3,8900,9970.38133965433,0,0.01,0.28
"85",0.26,8800,9970.8017979078,0,0.42,0.29
"86",0.26,8800,9970.8017979078,0,0.42,0.29
"87",0.37,8700,9970.46533465758,0,0.12,0.26
"88",0.37,8700,9970.46533465758,0,0.12,0.26
"89",0.26,8600,9970.53702430613,0,0,0.23
"90",0.26,8600,9970.53702430613,0,0,0.23
"91",0.28,8500,9970.7514556963,0,0,0.18
"92",0.28,8500,9970.7514556963,0,0,0.18
"93",0.33,8400,9970.47448874265,0,0,0.13
"94",0.33,8400,9970.47448874265,0,0,0.13
"95",0.38,8300,9970.61263840832,0,0,0.07
"96",0.38,8300,9970.61263840832,0,0,0.07
"97",0.46,8200,9970.61859876942,0,0,0.05
"98",0.46,8200,9970.61859876942,0,0,0.05
"99",0.53,8100,9970.61399101652,0,0,0.09
"100",0.53,8100,9970.61399101652,0,0,0.09
"101",0.57,8000,9970.60784127191,0,0,0.24
"102",0.57,8000,9970.60784127191,0,0,0.24
"103",0.52,7900,9970.61615337245,0,0,0.22
"104",0.52,7900,9970.61615337245,0,0,0.22
"105",0.53,7800,9970.64782996569,0,0,0.23
"106",0.53,7800,9970.64782996569,0,0,0.23
"107",0.54,7700,9970.65154528804,0,0.23,0.22
"108",0.54,7700,9970.65154528804,0,0.23,0.22
"109",0.57,7600,9970.62828117236,0,0.5,0.21
"110",0.57,7600,9970.62828117236,0,0.5,0.21
"111",0.58,7500,9970.59238698706,0,0.5,0.23
"112",0.58,7500,9970.59238698706,0,0.5,0.23
"113",0.56,7400,9970.5928732045,0,0.5,0.28
"114",0.56,7400,9970.5928732045,0,0.5,0.28
"115",1.13,7300,9970.62779550068,0,0.5,0.26
"116",1.13,7300,9970.62779550068,0,0.5,0.26
"117",0.75,7200,9970.6358154621,0,0.5,0.22
"118",0.75,7200,9970.6358154621,0,0.5,0.22
"119",0.5,7100,9970.63816590421,0,0.5,0.21
"120",0.5,7100,9970.63816590421,0,0.5,0.21
"121",0.5,7000,9970.63019345328,0,0.5,0.18
"122",0.5,7000,9970.63019345328,0,0.5,0.18
"123",0.55,6900,9970.61469617859,0,0.5,0.07
"124",0.55,6900,9970.61469617859,0,0.5,0.07
"125",0.59,6800,9970.61842577904,0,0.5,0.01
"126",0.59,6800,9970.61842577904,0,0.5,0.01
"127",0.42,6700,9970.62623935565,0,0.5,0.02
"128",0.42,6700,9970.62623935565,0,0.5,0.02
"129",0.59,6600,9970.62341108918,0,0.5,0.02
"130",0.59,6600,9970.62341108918,0,0.5,0.02
"131",0.46,6500,9970.61276486889,0,0.5,0.03
"132",0.46,6500,9970.61276486889,0,0.5,0.03
"133",0.52,6400,9970.60337175801,0,0.5,0.11
"134",0.52,6400,9970.60337175801,0,0.5,0.11
