"","Cover","distance","area","lat_dist","Zones","Value"
"1",0.35,12200,39842.6160219796,0,0.1,0.25
"2",0.45,12000,39873.4872110449,0,0.1,0.33
"3",0.5,11800,39858.6357813068,0,0.1,0.38
"4",0.5,11600,39858.4263326051,0,0.07,0.1
"5",0.5,11400,39858.5658804713,0,0,0
"6",0.5,11200,39858.3423896292,0,0,0.12
"7",0.5,11000,39857.1122513292,0,0,0.25
"8",0.5,10800,39856.1649204921,0,0,0.35
"9",0.5,10600,39866.5033688769,0,0,0.36
"10",0.49,10400,39856.9553209916,0,0,0.35
"11",0.66,10200,39856.9557793736,0,0.06,0.37
"12",0.51,10000,39858.2615294158,0,0.1,0.29
"13",0.47,9800,39858.5194671527,0,0.1,0.38
"14",0.53,9600,39858.4893887937,0,0.1,0.26
"15",1.75,9400,39858.41192054,0,0.1,0.15
"16",1.94,9200,39858.3937504739,0,0.1,0.16
"17",0.71,9000,39858.476847358,0,0.06,0.15
"18",0.5,8800,39858.8919192776,0,0,0.04
"19",0.5,8600,39859.2961721048,0,0,0
"20",0.51,8400,39858.7355203182,0,0,0.01
"21",0.4,8200,39858.6327724382,0,0,0.13
"22",0.34,8000,39858.3799767159,0,0,0.16
"23",0.4,7800,39858.4619272314,0,0,0.24
"24",0.51,7600,39858.5806193054,0,0,0.35
"25",0.53,7400,39858.6551658809,0,0.37,0.35
"26",0.51,7200,39858.6850169934,0,0.5,0.35
"27",0.68,7000,39858.6874622963,0,0.5,0.35
"28",0.51,6800,39858.6307954304,0,0.5,0.35
"29",0.5,6600,39858.4138228819,0,0.5,0.32
"30",0.46,6400,39857.9024603888,0,0.5,0.29
"31",0.5,6200,39859.9289391488,0,0.5,0.33
"32",0.51,6000,39859.2106724381,0,0.5,0.37
"33",0.5,5800,39858.278190501,0,0.5,0.28
"34",0.5,5600,39858.3477865383,0,0.5,0.06
"35",0.5,5400,39858.5934012756,0,0.5,0.06
"36",0.5,5200,39858.6544103846,0,0.43,0.35
"37",0.35,5000,39858.6800333187,0,0.02,0.35
"38",0.32,4800,39858.6738160476,0,0,0.19
"39",0.34,4600,39858.6759806946,0,0.27,0.15
"40",0.36,4400,39858.6807195768,0,0.7,0.15
"41",0.35,4200,39858.6914486215,0,0.7,0.15
"42",0.3,4000,39858.6976438686,0,0.22,0.16
"43",0.28,3800,39858.6735709608,0,0,0.18
"44",0.25,3600,39858.6587277204,0,0,0.23
"45",0.31,3400,39858.6628579274,0,0,0.28
"46",0.38,3200,39858.5904355645,0,0,0.34
"47",0.45,3000,39858.7488582879,0,0,0.36
"48",0.51,2800,39858.5800863206,0,0,0.36
"49",0.5,2600,39858.9143271148,0,0,0.31
"50",0.51,2400,39858.8537588343,0,0,0.25
"51",0.42,2200,39858.3661376908,0,0,0.41
"52",0.24,2000,39858.1938563362,0,0,0.2
"53",0.5,1800,39858.6818485782,0,0,0.16
"54",0.5,1600,39858.7493551597,0,0,0.01
"55",0.51,1400,39859.077270478,0,0,0.04
"56",0.67,1200,39858.7357311547,0,0,0.11
"57",0.52,1000,39858.6068876684,0,0,0.13
"58",0.4,800,39858.3737064824,0,0,0.13
"59",0.26,600,39847.3849122375,0,0,0.16
"60",0.17,400,39869.094186604,0,0,0.22
"61",1.27,12200,40491.3060733937,200,0.1,0.09
"62",0.5,12200,39193.9259706512,-200,0.1,0.17
"63",0.93,12000,46358.6573533863,200,0.1,0.14
"64",0.5,12000,33379.9094913341,-200,0.1,0.03
"65",0.51,11800,42658.5059496854,200,0.1,0.16
