"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","mean.correction_factor","y","area","bottom_area"
"2.4",0.697893857955933,1.02618312835693,1.49088299274445,1.92841351032257,2.29474782943726,2.70046973228455,3.02762770652771,3.35864281654358,3.68636417388916,4.42416572570801,4.68438673019409,0,1.00029182434082,12200,39842.6160219796,39854.2430671368
"3.4",0.653686285018921,0.934928894042969,1.31792032718658,1.72580540180206,2.08413910865784,2.52625870704651,2.18585085868835,1.62377345561981,1.85067272186279,2.40728068351746,2.61687159538269,0,1.00046801567078,12000,39873.4872110449,39892.1486279082
"4.4",-9999,-9999,-9999,3.70955991744995,3.60611200332642,3.60157179832458,3.93896532058716,4.2327036857605,4.19825077056885,3.6165087223053,3.55806040763855,0,1.00495219230652,11800,39858.6357813068,40056.0234107713
"5.4",-9999,-9999,-9999,2.95675921440125,2.11352849006653,2.32544326782227,1.55631625652313,1.41808950901031,3.29131460189819,2.60418009757996,2.88321661949158,0,1.00453746318817,11600,39858.4263326051,40039.2824748277
"6.4",-9999,-9999,-9999,-9999,-9999,-9999,0.0208109468221664,0.178673163056374,4.41122817993164,4.28490543365479,4.77595996856689,0,1.00195229053497,11400,39858.5658804713,39936.3813813773
"7.4",-9999,-9999,0.00819129683077335,0.319934785366058,1.3379944562912,2.8681423664093,3.20573878288269,3.34459233283997,3.65965175628662,3.47360420227051,3.72907280921936,0,1.00146627426147,11200,39858.3423896292,39916.7856511802
"8.4",-9999,-9999,0.00936326570808887,0.323149442672729,1.2808837890625,3.36882638931274,3.71871376037598,4.02755212783813,4.38853359222412,4.66241407394409,4.83963489532471,0,1.00071609020233,11000,39857.1122513292,39885.6535389056
"9.4",-9999,-9999,0.01265549659729,0.316902995109558,1.3082822561264,2.76825046539307,3.16313290596008,3.2138466835022,3.47001552581787,4.09836530685425,4.68908929824829,0,1.00170135498047,10800,39856.1649204921,39923.974405182
"10.4",0.817897617816925,0.980634212493896,0.35269421339035,0.637521743774414,1.3851215839386,2.90180921554565,3.1058144569397,3.43669676780701,3.69065403938293,4.12609815597534,4.45042371749878,0,1.00087773799896,10600,39866.5033688769,39901.4957137695
"11.4",1.55982601642609,1.77256977558136,1.86135339736938,1.31254541873932,1.91978287696838,2.71596145629883,3.0876042842865,3.19717741012573,3.54523587226868,3.99494481086731,4.50630283355713,0,1.00102841854095,10400,39856.9553209916,39897.9449528297
"12.4",1.04177749156952,1.31153810024261,1.567458152771,1.14895141124725,1.73182678222656,2.75849556922913,3.07901287078857,3.05881500244141,3.01848292350769,3.09662818908691,3.47305846214294,0,1.00092315673828,10200,39856.9557793736,39893.7499966688
