length_mm,count,proportion_of_total,cumulative_proportion
148.717948717949,90.3448275862069,0.073307218802462,0.073307218802462
176.923076923077,335.172413793103,0.271964185786234,0.345271404588696
207.692307692308,186.896551724138,0.151650811415781,0.496922216004476
238.461538461539,104.137931034483,0.084499160604365,0.581421376608841
269.230769230769,147.586206896552,0.119753777280358,0.701175153889199
300,182.758620689655,0.14829322887521,0.849468382764409
325.641025641026,109.655172413793,0.088975937325126,0.938444320089535
356.410256410256,22.7586206896552,0.018466703973139,0.956911024062674
387.179487179487,17.2413793103449,0.013989927252378,0.970900951315052
417.948717948718,8.96551724137942,0.007274762171237,0.978175713486289
451.282051282051,3.44827586206895,0.002797985450476,0.980973698936765
476.923076923077,3.44827586206895,0.002797985450476,0.98377168438724
502.564102564103,3.44827586206895,0.002797985450476,0.986569669837716
535.897435897436,1.37931034482767,0.00111919418019,0.987688864017906
561.538461538461,1.37931034482767,0.00111919418019,0.988808058198097
597.435897435897,1.37931034482767,0.00111919418019,0.989927252378287
658.974358974359,2.06896551724139,0.001678791270285,0.991606043648572
687.179487179487,1.37931034482767,0.00111919418019,0.992725237828763
751.282051282051,1.37931034482767,0.00111919418019,0.993844432008953
776.923076923077,1.37931034482767,0.00111919418019,0.994963626189143
802.564102564103,1.37931034482767,0.00111919418019,0.996082820369334
835.897435897436,2.06896551724139,0.001678791270285,0.997761611639619
900,1.37931034482767,0.00111919418019,0.998880805819809
958.974358974359,1.37931034482767,0.00111919418019,1
