length_mm,count,proportion_of_total,cumulative_proportion
148.717948717949,138.043572356081,0.056387948709939,0.056387948709939
176.923076923077,475.75818785168,0.194337395338585,0.250725344048524
207.692307692308,314.302409464724,0.128386043926706,0.37911138797523
238.461538461539,340.121194632809,0.138932484510376,0.518043872485606
269.230769230769,413.694993507431,0.168985862052911,0.687029734538517
300,323.972009810994,0.132335875991068,0.819365610529585
325.641025641026,206.935507141827,0.084528881452586,0.903894491982171
356.410256410256,86.7753570913289,0.035445941462098,0.939340433444269
387.179487179487,52.3878228249893,0.021399343816321,0.960739777260589
417.948717948718,39.0910402539317,0.015967882714387,0.976707659974976
451.282051282051,12.2348867407302,0.004997698583376,0.981705358558353
476.923076923077,12.2348867407302,0.004997698583376,0.986703057141729
502.564102564103,13.4901168662532,0.005510434169171,0.9922134913109
535.897435897436,3.88977059587375,0.001588890964715,0.993802382275615
561.538461538461,1.37931034482767,0.000563419793126,0.994365802068741
597.435897435897,1.37931034482767,0.000563419793126,0.994929221861867
658.974358974359,2.06896551724139,0.000845129689689,0.995774351551556
687.179487179487,1.37931034482767,0.000563419793126,0.996337771344682
751.282051282051,1.37931034482767,0.000563419793126,0.996901191137808
776.923076923077,1.37931034482767,0.000563419793126,0.997464610930934
802.564102564103,1.37931034482767,0.000563419793126,0.998028030724059
835.897435897436,2.06896551724139,0.000845129689689,0.998873160413748
900,1.37931034482767,0.000563419793126,0.999436580206874
958.974358974359,1.37931034482767,0.000563419793126,1
